,명칭,주소,lat,lon,개요,문의 및 안내,주차 시설,영업시간,쉬는날,대표메뉴,취급메뉴,상세정보
182,우원,"제주특별자치도 제주시 고마로 129
			",33.5031441675,126.542554745,제주도 현지인들이 자주 찾는 맛집이다. 대표메뉴는 차돌박이다. 제주특별자치도 제주시에 있는 BBQ 전문점이다.,064-753-1009,,17:30 ~ 23:00,매주 일요일,차돌박이,차돌박이 / 제비추리 / 김치말이소면 외,"화장실:남녀구분

"
183,갈치왕,제주특별자치도 서귀포시 일주서로 1146(상예동),33.2646847924,126.3907760719,"제주 갈치왕은 당일 서귀포항에서 경매한 신선한 갈치를 공수해 저렴한 가격으로 제공하는 갈치 요리 전문점이다. 통갈치 해물찜, 통갈치 구이, 가시 없는 갈치조림으로 메뉴의 선택 폭이 넓지는 않지만, 메뉴 주문 시 기본으로 제공되는 계절 음식, 간장게장, 갈치회, 전복 버터구이, 고등어구이와 밥이 나와 푸짐하게 즐길 수 있다. 통갈치 해물찜은 돌문어, 뿔소라, 키조개 등이 더 나온다. 가시 없는 갈치조림은 갈치왕 대표 메뉴로 순한맛, 매운맛 선택이 가능하고 2인, 3인, 4인 구성으로 식사 주문 후 추가로 갈치구이, 조림 새우, 전복을 추가할 수 있다.",064-739-9333,있음 / 주차요금 무료,10:00-22:00(브레이크 타임 15:30-17:00),없음,가시 없는 갈치조림,"통갈치해물찜, 통갈치구이 등","부대시설:단체석, 주차장, 화장실

화장실:있음

"
184,24시뼈다귀탕,"제주특별자치도 제주시 삼무로 47
			",33.4900836926,126.4917511241,24시간 운영하는 해장국집이다. 제주특별자치도 제주시에 있는 한식전문점이다. 대표메뉴는 감자탕이다.,064-748-0012,,00:00-24:00,,감자탕,감자탕,
185,교래손칼국수(원조교래손칼국수),"제주특별자치도 제주시 조천읍 비자림로 645
			",33.4361675979,126.6760057906,직접 손으로 반죽해서 뽑은 초록색 생면과 진한 닭 국물이 인상적인 교래손칼국수는 제주의 느낌을 살린 건물 외관이 특징적이다. 넓은 주차장은 물론 버스 정류장 바로 앞에 있어 방문하기에도 매우 편하다. 내부도 매우 넓은 편이지만 항시 손님들로 붐벼 대기해야 하는 일이 잦으니 3시 이전 방문자들은 예약하는 게 좋다. 인기 메뉴는 진한 국물이 일품인 토종닭 칼국수와 바지락 칼국수이며 곁들여 먹는 깍두기와 배추김치도 깔끔하다. 든든한 식사 후 근처에 있는 거문오름과 사려니숲길을 산책하는 것도 좋다.,064-782-9870,주차가능,10:50 ~ 18:30,수요일,토종닭 칼국수,"바지락 칼국수, 보말 전복 칼국수, 메밀 야채전","부대시설:단체석, 아기의자, 주차장, 무선 인터넷, 화장실
화장실:가능 (남녀 구분)
"
186,인더그린,제주특별자치도 제주시 1100로 3198-20(노형동),33.4729771585,126.485827026,"제주 시내에 자리한 카페로, “인더그린”이란 이름처럼 작은 숲속에 들어와 있는 것처럼 꾸며진 실내가 인상적이다. 초록빛 식물로 가득 채워진 카페 내부는 앤티크한 가구와 소품, 따스한 조명이 어우러진 독특한 분위기가 매력적이다. 일부 식물과 토분은 저렴한 가격에 판매도 겸하고 있어 관심 있는 현지인들이 일부러 찾아오기도 한다. 또 리스 만들기 같은 각종 식물 관련 원 데이 클래스도 이 공간에서 이뤄진다. 카페 인더그린에서 가장 인기 있는 공간은 6600㎡에 이르는 야외 정원이다. 가벼운 산책과 함께 자연 속에서 힐링하는 기분도 느낄 수 있다. 음료도 다양하게 맛볼 수 있으며 푸짐한 브런치와 디저트, 커피는 물론 수박 맥주와 와인 등 가벼운 알코올 드링크도 즐길 수 있다.",064-711-9272,있음,11:00~19:30,매주 일요일,"봉봉드링크, 자몽하다","아인슈페너, 라떼 등",
187,옛정의골 식당,제주특별자치도 서귀포시 표선면 중산간동로 4592옛정의 골 농수산,33.3891248662,126.8050373428,"옛정의골 식당은 제주산 흑돼지를 이용한 돼지불고기를 주메뉴로 하여 꿩고기 전골이 유명한 곳으로 성읍민속마을에서 꿩 전골을 맛볼 수 있는 몇 안 되는 음식점 중 한 곳이다. 이곳만의 특별한 양념으로 요리한 돼지 불고기 정식은 우리 입맛뿐 아니라 외국인의 입맛에도 잘 맞아 많은 손님이 단골이 되는 곳이다. 현대식 대형 건물과 깔끔한 실내, 초대형 주차장을 완비한 음식점으로 예약제로 운영되는 60석 규모의 별실도 갖추고 있다.",064-787-0934,주차 가능(20대),10:00 ~ 18:00,명절연휴(전화문의),제주돼지불고기세트,제주돼지불고기세트 / 제주흑돼지구이 외,"화장실:남녀구별, 식당내부 위치
"
188,흑한우명품관,"제주특별자치도 서귀포시 일주동로 8421
			",33.2572276299,126.5884813187,"서귀포시 축산농협에서 운영하는 흑한우 정육 식당이다. 흑한우명품관 1층은 정육판매점으로 흑한우 및 다양한 종류의 고기를 판매하고 있으며, 2층은 식당으로 흑한우를 맛볼 수 있다.",064-732-1486,주차 가능,11:00 ~ 21:30 (브레이크타임 15:00 ~ 17:00),명절연휴,모듬구이,모듬구이 / 살치살 / 안창살 외,
189,안녕전복,제주특별자치도 제주시 관덕로 3(삼도이동),33.5128677248,126.5196176286,제주시 삼도이동에 위치한 안녕전복은 살아있는 생전복으로 즉석에서 조리해주는 곳으로 일반인도 쉽게 접할 수 있는 퓨전전복요리를 제공한다.,064-751-4716,"주차 가능(공용주차장, 대로변)",08:30 ~ 19:00,매주 목요일,활전복초장비빔밥 / 아보카도비빔밥,활전복초장비빔밥 / 아보카도비빔밥 / 전복죽 / 전복육회무침 외,"화장실:남/여 구분
"
190,제주로운청해원,"제주특별자치도 서귀포시 성산읍 신양로 101
			",33.4367686925,126.9206567893,"제주 서귀포시 성산읍에 있는 제주로운청해원은 23년 된 향토음식점이다. 섭지코지, 아쿠아플라넷, 성산일출봉 등 관광명소가 근처에 있어 접근성이 좋다. 매일 아침 성산항에서 잡아 오는 제주산 갈치를 이용하여 만드는 갈치조림과 고등어김치찜세트가 이 집 대표 메뉴이다. 세트 메뉴는 갈치조림 또는 고등어김치찜 중 하나를 선택하고 나머지 옥돔구이, 해물뚝배기, 찰솥밥이 나오는 구성이다. 전복뚝배기, 전복죽, 성게국, 물회 등 단품 메뉴도 있다. 자극적이지 않고 신선한 재료로 만들어 집밥이 생각난다면 제주로운청해원을 추천한다. 아침 8시부터 식사를 할 수 있다.",064-782-7008,주차가능,08:00 - 21:00,,"갈치조림, 옥돔구이, 해물뚝배기","고등어김치찜, 옥돔구이, 갈치조림, 옥돔구이, 전복뚝배기","부대시설:주차장, 화장실
화장실:가능
"
191,애파소,"제주특별자치도 제주시 애월읍 애월로 118
			",33.464458806,126.3198027674,"제주 애월읍 애월 환승정류장 근처에 자리한 애파소는 입구부터 레트로한 느낌을 주는 식당이다. 애파소란 이름은 애월 파출소의 줄임말이다. 실제로 주차장도 애월 파출소 내에 마련돼 있다. 2층으로 올라가면 식당 내부는 강렬한 색채의 벽면과 인도풍의 소품들로 이국적인 분위기를 느끼게 한다. 애파소는 낮에는 식당, 밤에는 펍으로 운영된다. 애파소 커리는 새우 커리와 닭 커리가 대표메뉴이며 밥이 함께 제공되기는 하지만 커리에 찍어 먹는 인도 주식인 차파티를 주문하면 보다 풍부한 맛을 즐길 수 있다. 난보다 훨씬 쫄깃한 식감이어서 우리 입맛에도 잘 맞다. 인도식 구운 계란도 별미다. 애파소 펍은 위스키와 테킬라, 맥주를 비롯해 ‘노란달’, ‘파란달’로 불리는 칵테일을 낸다. 안주는 닭튀김과 마른안주 두 가지로 단출하다.",064-799-0804,주차가능,애파소커리 10:30 ~ 15:00<br>펍 19:00 ~ 24:00,"애파소커리 매주 수요일<br>펍 매주 화요일, 수요일","새우커리, 닭커리","짜파티, 인도식 구운계란, 주류",
192,중문수두리보말칼국수,제주특별자치도 서귀포시 천제연로 192(중문동),33.2516062199,126.4250095051,"중문에 위치한 수두리 보말칼국수는 2013년 9월 오픈한 이래로 꾸준하게 도민과 관광객들의 사랑을 받아온 맛집이다. 직접 반죽한 톳 면에 매일 아침 준비하는 자연산 보말을 활용해 육수를 낸다. 반찬 역시 직접 손질하고 만들어 제공해 모든 메뉴에서 이곳 주인장만의 손맛이 느껴진다. 메뉴는 4가지로 단출한 편이다. 톳 보말칼국수인 수두리 보말칼국수는 시그니처 메뉴이며, 진한 보말 육수와 쫄깃한 톳 면의 조화가 좋다. 이 밖에도 톳 성게 칼국수와 성게 전복죽, 애피타이저로 먹을 수 있는 물만두 메뉴도 한 번씩 맛보기를 추천한다.",064-739-1070,,08:00 ~ 17:00 (라스트오더 16:30),"매달 1,3번째 화요일","수두리보말칼국수, 성게전복죽","물만두, 톳성게칼국수 등","부대시설:화장실

"
193,바다는안보여요,"제주특별자치도 제주시 구좌읍 종달로5길 31-1
			",33.4933232117,126.8994489902,"[제주시 구좌읍 종달리에 위치한 카페 바다는안보여요]<br />
바다는안보여요 카페는 이름처럼 바다가 보이지 않는 카페이다. 바다는안보여요 카페에서는 구좌읍에서 키운 당근으로 만든 당근주스와 이외에 다양한 음료와 간단한 식사류가 준비되어 있다. 카페 내에 소설책과 만화책이 구비되어 있으며, 여행시 간단한 식사를 하기에 좋다.<br>",064-782-4518,주차 가능,10:00 ~ 22:00,매주 수요일,아메리카노,아메리카노 / 에스프레소 / 카페라떼 / 생당근100% 구좌 당근주스 / 단팥라떼 외 각종 음료와 디저트,"화장실:남녀공용, 업소내 위치
"
194,청운식당,"제주특별자치도 서귀포시 성산읍 일출로 285
			",33.463088238,126.9348910607,이른 아침에도 갈치요리를 맛볼 수 있는 곳이다. 대표메뉴는 갈치 정식이다. 제주특별자치도 서귀포시에 있는 한식 전문점이다.<br>,064-782-3912,주차 가능(성산일출봉 주차장),09:00-21:00,연중무휴,갈치정식,갈치정식 / 해물뚝배기,
195,랜딩 다이닝,"제주특별자치도 서귀포시 안덕면 신화역사로304번길 38
			",33.3049513971,126.3164038528,"랜딩 다이닝은 랜딩관 제주신화월드 지하 1층에 위치한 올 데이 다이닝 공간이다. 한식부터 중식, 일식, 양식을 모두 아우르는 뷔페 레스토랑으로 취향에 맞는 요리를 선택할 수 있다. 조식 뷔페에서는 베트남 쌀국수와 오믈렛 등을 즉석에서 만들어주는 라이브 섹션을 운영하고 있다. 해산물과 흑돼지 등 제주의 식재료를 사용한 엄선된 메뉴를 선보이고 있으며 24시간 운영되는 룸 서비스를 통해 한식부터 양식까지 다양한 메뉴를 객실에서도 주문할 수 있다.<br>",064-908-2300,주차 가능,07:00 ~ 21:00,연중무휴,뷔페,뷔페,"부대시설:공용주차장, 화장실, 무료 WIFI, 흡연구역, 편의점, 음료대, 유도 및 안내 시설, 경보 및 피난 시설, 노키즈존, 유아 의자, 유아 식기
"
196,해녀잠수촌,제주특별자치도 제주시 서해안로 498(용담삼동),33.5192638011,126.4921643149,"가성비, 가심비, 두 마리 토끼를 잡은 공항 근처 맛집 해녀잠수촌은 오전 8시에 문을 열어 비교적 이른 아침 식사를 하러 방문하는 고객들이 많다. 고등어구이가 서비스로 나오고 매장 한편에는 손님들이 직접 계란 프라이를 해 먹을 수 있는 곳도 준비되어 있다. 아침 일찍 방문해도 여러 메뉴를 선택할 수 있다는 장점이 있다. 대표 메뉴인 전복뚝배기, 물회 외에도 손님들이 남긴 후기를 보면 기본적으로 맛이 검증된 곳이다. 해녀잠수촌의 내부는 넓고 의자도 많아 편하게 식사를 할 수 있다. 식사를 마치고 밖으로 나오면 바다 풍경을 볼 수 있어 식사 후 가벼운 산책을 하며 기분 좋은 하루를 시작할 수 있다.",0507-1398-0733,주차가능,08:00 ~ 20:00,연중무휴,전복뚝배기,"전복물회, 회국수, 갈치회, 한치물회, 고등어회, 전복죽, 회덮밥","부대시설:단체석, 주차장, 화장실
화장실:가능 (남녀 구분)
"
197,오조해녀의집,"제주특별자치도 서귀포시 성산읍 한도로 141-13
			",33.4697956273,126.922336438,"성산 일출봉에서 제주 방향으로 방조제를 건너면 등대를 닮은 하얀 건물이 보이는데 이곳이 오조리 어촌계에서 직영하는 해녀식당 오조리 해녀의 집이다. 이곳 메뉴는 전복, 소라, 해삼 등의 해산물 이름만이 적혀있다. 싱싱한 재료의 맛을 온전히 맛볼 수 있는 회나 구이가 주가 되고 그 중 가장 인기 있는 메뉴는 역시 전복죽이다.",064-784-7789,주차 가능,06:00 ~ 20:00,연중무휴,전복죽,전복죽 / 전복회 / 해삼 / 소라 / 문어 외,"화장실:남녀구별, 식당내부
"
198,황금어장,제주특별자치도 제주시 사장길 14(연동),33.4844149333,126.4953564946,제주시 연동에 위치한 황금어장은 제주의 토속음식을 판매하는 음식점이다. 아침식사가 가능하고 코스 메뉴부터 일품 메뉴까지 다양한 메뉴를 즐길 수 있다.,064-748-8989,주차 가능,08:00 ~ 21:00,연중무휴,갈치조림,갈치조림 / 고등어조림 / 전복구이 외,"화장실:있음
"
199,가시아방국수,"제주특별자치도 서귀포시 성산읍 섭지코지로 10
			",33.4386517763,126.9180903016,"성산읍에 자리하고 있는 가시아방 국수는 제주 특산 메뉴인 고기 국수를 주력으로 하는 맛집이다. 수요 미식회, 알쓸신잡 2, 6시 내 고향 등 다수의 TV 프로그램 출연하면서 맛으로는 이미 여러 차례 인증된 곳이다. 대표 메뉴인 고기 국수는 진한 육수에 부드럽고 노란 면, 고소한 돔베고기 고명이 조화롭다. 이외에도 비빔국수와 멸치국수 역시 이곳만의 감칠맛으로 인기 메뉴이다. 여러 메뉴를 한 번에 먹고 싶다면 세트 메뉴도 준비되어 있는데, 국수와 돔베고기 1/2을 함께 맛볼 수 있어 가성비 좋게 즐길 수 있다.",064-783-0987,주차가능,10:00 ~ 21:00,"수요일 (설,추석 당일)",고기국수,"멸치국수, 비빔국수, 돔베고기 등","부대시설:주차장, 화장실, 무선인터넷

"
200,자연식당,"제주특별자치도 제주시 우도면 우도해안길 602
			",33.524456743,126.9525853309,살아있는 해산물과 방부제가 없는 면을 사용하는 곳이다. 대표메뉴는 문어라면이다. 제주특별자치도 제주시에 있는 한식전문점이다.,064-784-9911,가능,08:00-20:00,,문어라면,문어라면 / 해물짬뽕,
201,지미스,"제주특별자치도 제주시 우도면 우도해안길 1132
			",33.4977793773,126.9674124414,제주특별자치도 제주시에 있는 카페이다. 대표메뉴는 아이스크림이다. 땅콩은 우도의 특산물이다.,010-9868-8633,,08:00-17:30,,아이스크림,아이스크림 / 주스,
202,난드르바당,제주특별자치도 서귀포시 하예하동로16번길 11-1(하예동),33.2346461302,126.370989569,"제주 대평리에 위치한 난드르바당은 유명한 관광지가 근처에 있지 않음에도 불구하고 바다 뷰를 감상하며 제주 흑돼지구이를 맛볼 수 있는 곳으로 찾는 사람이 많다. 기본 2인분 기준으로 제주 흑돼지 600g이 딱새우 된장찌개와 같이 제공되며, 함께 구워 먹을 수 있는 대하와 계절에 따라 소라 꼬치도 판매한다. 고기를 찍어 먹는 소스는 자리돔 젓이 제공되며, 고기 불판의 바깥쪽으로는 계란찜과 콘치즈가 올려지는데, 콘치즈는 셀프바에서 무한리필이 가능하며 계란찜은 추가 주문해야 한다. 야외 좌석에 앉기 원한다면, 식사 시간보다 빠르게 도착하기를 권한다.",064-739-0053,주차가능,12:00 - 22:00,목요일,제주산 흑돼지,"돼지고기구이, 제주산 성게 미역국, 흑돼지 김치찌개","부대시설:단체석, 아기의자, 주차, 무선 인터넷
화장실:가능 (남녀구분)
"
203,시골가마솥 돗궤기,"제주특별자치도 서귀포시 남원읍 남조로 32
			",33.2825991631,126.7209248299,"※ 영업시간 11:30 ~ 22:00 (일요일 05:00 ~ 22:00)

제주도 서귀포시 남원읍에 위치한 시골가마솥 돗궤기는 제주 청정 무항생 흑돼지구이와 맛있는 백하수오해물탕, 해물 전복뚝배기를 판매한다. 넓은 주차장이 있어 편리하게 이용할 수 있다.",0507-1409-7798,주차 가능,11:30 ~ 22:00 (일요일 05:00 ~ 22:00),,무항생 흑돼지구이,무항생 흑돼지구이 / 백하수오 해물탕 / 해물 전복뚝배기 외,"화장실:업소내 위치 / 남녀개별
"
204,돌하르방,"제주특별자치도 제주시 한림읍 한림로 300
			",33.3902018773,126.2397419496,"한림공원 재암민속마을 내 초가 건물을 이용한 제주 전통 민속풍의 식당으로써 제주 전통의 담백한 음식을 전문으로 하는 150석의 대형 음식점이다. 제주 토종돼지 숯불구이, 싱싱한 제주 해산물을 넣어 부친 해물 녹두전, 국물이 시원하고 영양가 높은 성게국, 조와 누룩으로 빚은 제주 전통 민속주인 좁쌀주 등이 유명하다. 또한 계절 별미로써 여름철에는 시원한 허브 냉면과 냉수박, 겨울철에는 담백한 꿩고기와 그 국물을 맛볼 수 있는 꿩 메밀칼국수, 제주 토속 음식인 꿩빙떡 등의 메뉴가 준비되어 있다.",064-796-0001,주차 가능,08:30 ~ 17:00,연중무휴,토종돼지숯불구이정식 / 삼다비빔밥,토종돼지숯불구이정식 / 삼다비빔밥 / 비양도성게국 / 갈치조림정식 외,"장애인 편의시설:장애인용화장실
"
205,미스칠,제주특별자치도 제주시 일주서로 7831(연동),33.493944243,126.4833600991,"돔베고기와 전복요리를 전문으로 하는 미스칠은 조림, 솥밥, 구이를 포함하여 다양하고 신선한 요리를 제공해 제주만의 특색 있는 향토의 맛을 느낄 수 있다. 메뉴 구성에 따라 미스칠 특선, 한상차림, 뚝배기 정식으로 선택할 수 있다. 아늑하고 깔끔한 실내 분위기는 제주를 느끼기에 더할 나위 없이 편안한 느낌을 준다. 한상차림 메뉴는 제주에서 꼭 먹어야 하는 것들로만 구성되어 있어 퀄리티 높은 제주 음식을 다양하게 맛보기에 안성맞춤이다. 공항에서도 가까워 접근성도 좋은 이곳은 관광객뿐만 아니라 현지 도민들에게도 이미 잘 알려져 있는 제주시 연동을 대표하는 맛집이다.",064-748-8007,있음 / 주차요금 무료,08:00 ~ 20:00 (브레이크타임 15:30 ~ 17:00),수요일,미스칠 조림한상 / 구이한상,"통 갈치구이, 뚝배기 정식, 전복 돌솥밥","부대시설:단체석, 무선 인터넷, 아기의자, 주차장, 화장실

화장실:있음 (남녀 구분)

"
206,복자씨연탄구이,"제주특별자치도 서귀포시 성산읍 해맞이해안로 2764
			",33.4692039841,126.9197672298,복자씨 연탄구이는 탁 트인 제주 바다를 감상하며 제주 근고기를 맛볼 수 있는 식당이다. 대표 메뉴인 흑돼지 근고기는 목살과 오겹살을 섞어 600g 기준으로 제공되며 직원들이 연탄불에 직접 구워주니 어떻게 구우면 맛있을지 고민할 필요가 없다. 육즙 가득 쫀득쫀득 탱탱하게 구워진 고기를 다 먹을 즈음 입가심으로 먹을 수 있는 김치찌개에도 돼지고기가 듬뿍 들어간다. 새콤하고 시원한 열무김치 국수는 입안의 기름기를 산뜻하게 씻어준다. 2층의 고객 전용 무료카페에서는 식사 후 커피 한잔 마시기에도 좋고 웨이팅이 있을 때 편하게 앉아서 기다리기에도 좋은 공간이다.,064-782-7330,주차가능,12:00 ~ 22:00,연중무휴,"흑돼지 근고기, 김치찌개","제주돼지 근고기, 흑돼지 근고기, 김치찌개","부대시설:단체석, 아기 의자, 주차장, 화장실, 무선 인터넷 

"
207,삼무국수,제주특별자치도 제주시 삼무로3길 46-1(연동),33.4905891798,126.4909789569,제주에 가면 꼭 한번 맛봐야 하는 음식들이 있다. 그중에서도 부담 없는 가격으로 제주만의 맛을 찾는 관광객에게 추천하는 고기국수는 진한 돼지고기 육수에 편육을 올려내는 음식이다. 제주 향토 음식인 고기국수는 마을에서 각종 경조사 때 돼지를 잡고 남은 고기와 면을 국물에 말아 먹은 것에서 유래했다고 한다. 제주공항에서 가까운 삼무국수의 고기국수는 담백하고 깔끔하여 특히 인기가 좋다. 또한 쫄깃한 국수 위에 싱싱하고 도톰한 제철 횟감에 채소를 곁들여 비벼 먹는 회 쟁반 국수도 별미이다.,064-711-5656,주차가능,08:40 ~ 23:00,"화요일 (둘째, 넷째 주)",고기국수,"돔베고기, 멸치국수, 돼지국밥, 메밀만두, 순두부찌개","부대시설:주차장, 화장실, 단체석, 무선 인터넷
화장실:가능 (남녀 구분)
"
208,한라식당,"제주특별자치도 제주시 광양9길 19
			",33.5004942894,126.5318224043,"제주시 이도2동에 위치한 한라식당은 제주시에서 지정한 균형 잡힌 식단을 제공하는 식단 개선 시범업소이다. 한라식당은 질 좋고 맛 좋은 갈치국을 비롯하여 각종 물회, 조림, 구이 등을 제공한다.",0507-1317-8301,,08:30 ~ 17:00 (토요일 08:30 ~ 13:00),일요일,갈치국 / 옥돔무국,갈치국 / 옥돔무국 / 옥돔미역국 / 성게국 / 물회 / 고등어구이 / 갈치구이 외,"화장실:남녀개별 / 업소 내부 위치
"
209,협재해녀의집,"제주특별자치도 제주시 한림읍 협재3길 19
			",33.3988648733,126.2439108383,"해물라면에 돌문어 숙회, 뿔소라 회, 그리고 전복·소라·문어숙회·멍게·새우가 들어간 모둠 해산물의 조화로운 맛을 즐길 수 있다. 해산물이 가득 들어 있는 라면은 국물이 시원하고 얼큰하며 양도 푸짐하다. 파 송송 콩나물 팍팍 들어가 술안주 또는 해장용으로도 좋다. 직접 잡아 온 재료로 만들어주기 때문에 더욱 신선한 해산물을 즐길 수 있으며 바 형태로 되어 있는 실내는 비양도를 바라보며 식사하기에도 좋고 혼밥하기에도 최적이다. 주문과 결제는 셀프로 진행되는데 현금결제 시 맞은편 GS25에서 아메리카노를 무료로 제공한다.",064-796-7773,주차가능,09:30 ~ 20:00,연중무휴,모둠 해산물,"해물 라면, 전복 해물뚝배기(공기밥포함), 옥돔구이, 고등어구이","부대시설:단체석, 주차장, 무선 인터넷, 장애인 편의시설, 화장실
화장실:가능 (남녀 구분)
"
210,고이정,"제주특별자치도 제주시 애월읍 애월로 6
			",33.45933424,126.3113536176,"매일 자정까지 운영하는 흑돼지 근고기와 제주 가브리살 전문점이다. 고이정이라는 이름은 ""‘고’기 맛이 ‘이’래도 되나 싶을 ‘정’도""라는 말을 의미한다. 점심시간에 방문하면 흑돼지, 김치찌개, 공깃밥이 인원수에 맞게 나오는 세트 메뉴 주문이 가능하다. 기본 찬은 쌈무, 양파장아찌, 파절임, 열무김치, 백김치, 옥수수 콘 등이 나오는데 특히 파절임은 새콤해서 고기와 함께 싸 먹기에 알맞다. 고기를 주문하면 숯불 위에 놓인 볏짚에 흑돼지를 초벌구이해 준다. 그리고 다시 불판 위에서 익어가는 근고기는 비계와 살코기의 비율이 좋아 보기만 해도 먹음직스럽다. 청양고추를 송송 썰어 넣은 멸치젓 소스에 듬뿍 찍어 먹으면 제격이다.		
*도민상회 5번째 매장입니다.",0507-1350-0401,있음,10:00 ~ 24:00,없음,흑돼지 근고기,"숙성 가브리살, 김치찌개, 땅콩 막걸리","부대시설:단체석, 무선 인터넷, 주차장, 화장실 (남녀 구분)

"
211,닐모리동동,"제주특별자치도 제주시 서해안로 452
			",33.5177555652,126.4877952847,"문화카페 닐모리동동은 (주)NXCL의 제주지역 문화 공헌 프로젝트로서 제주를 담은 인테리어와 식음, 각양각색의 문화행사로 제주 문화 다양성에 기여하고자 한다. 닐모리동동의 수익금은 제주 지역 내 문화 다양성 지원 기금으로 전액 사용된다. 닐모리동동의 천장은 오름, 조명은 해녀들이 사용하던 테왁, 오픈키친은 초가와 돌담을 형상화하여 인테리어 하였고, 곳곳에서는 제주 사투리를 발견할 수도 있다. 또한, 제주 지역의 음식재료로 만든, 혹은 제주를 표현한 음식, 디저트, 음료 등을 판매하고 있다. 제주를 현대적으로 표현한 닐모리동동에서는 여러가지 문화행사도 진행되고 있다.<br>",064-745-5008,주차 가능,하절기 10:00 ~ 23:00 <br />동절기 10:00 ~ 22:00,명절,"한라산빙수, 피자, 샐러드",파스타 / 라이스 / 스튜 / 샐러드 / 피자 / 디저트 / 커피 외,"부대시설:기저귀 교환대, 유모차, 유아용 의자, 자전거 주차대 
화장실:남/녀 화장실 구분
"
212,바다위에코끼리,"제주특별자치도 제주시 한림읍 협재1길 27-6
			",33.3978677462,126.2429414999,"코끼리를 닮은 비양도가 보여 '바다 위에 코끼리'라는 이름을 가진 카페. 푸르고 푸른 협재 바다를 바라보며 생각 정리를 하기 좋은 곳이다. 크로플에 아이스크림 또는 제주말차라떼와 당근케이크를 주문하고 창 넓은 곳에 앉아서 지금까지 내가 걸어온 길, 앞으로 내가 나아가야 할 길 등 잔잔한 바다가 전해주는 마음의 소리를 듣기 좋은 곳이다. 제주에서만 살 수 있는 기프트 샵도 같이 있어서 귀엽고 아기자기한 물품들을 사기 좋다. 협재 해수욕장 근처 한적하면서도 감성적인 카페를 찾는다면 적극적으로 추천한다.",070-4140-4832,주차가능,10:00 ~ 19:00,수요일,수제 당근케이크,한라봉에이드,"부대시설:포토존
화장실:가능 (남녀구분)
"
213,고집돌우럭함덕점,"제주특별자치도 제주시 조천읍 신북로 491-9
			",33.5438499233,126.6631211168,"고집돌우럭은 함덕, 제주공항, 중문, 세 곳에 매장이 있다. 모든 메뉴가 세트로 나오는 고집돌우럭에서는 우럭조림, 옥돔구이, 양푼 밥을 기본 세트로 뿔소라 미역국, 새우튀김, 돔베고기, 숙성 모둠회 등 원하는 메뉴를 입맛에 맞게 고를 수 있다. 제주에서 나는 오메기술, 니모메주, 위트에일, 땅콩 막걸리, 한라봉 막걸리도 준비되어 있어 찐 제주의 맛을 느낄 수 있다. 니모메는 ‘너의 마음에’라는 제주 방언으로 제주산 쌀과 귤피를 원료로 만든 술이다. 푸짐하고 맛깔나는 비주얼에 한번 놀라고, 맛에 한번 놀란다는 말이 있을 정도이며 가족 단위로 어른과 함께 가면 좋은 맛집이다.		
*고집돌우럭은 제주의 환경을 지키기 위해 해양생태계 파괴의 주범인 일회용 컵 사용 줄이기 캠페인을 진행하고 있습니다",고집돌우럭함덕점,있음,10:00 ~ 21:30 (브레이크타임 15:00 ~ 17:00),연중무휴,런치세트(우럭조림+옥돔구이+양푼밥),"우럭조림, 옥돔구이, 돔베고기, 숙성모둠회","부대시설:단체석, 주차장, 화장실(남녀 구분) 

"
214,손맛촌,"제주특별자치도 제주시 조천읍 비자림로 661
			",33.4373535996,126.6773612019,"손맛촌은 제주도 통갈치구이와 갈치조림 전문점으로 모든 수산물과 식재료를 국내산으로 사용한다. 통통한 갈치와 맛있는 양념이 어우러진 갈치조림은 가장 인기 있는 메뉴 중 하나이다. 또한, 통갈치구이 세트에는 두툼한 통갈치구이와 전복뚝배기, 성게미역국, 한치물회, 갈치튀김, 탕수육, 전복회와 정갈한 밑반찬까지 더해 푸짐한 한 상이 차려져 부모님이나 손님들에게 대접하기 좋은 메뉴이다. 돌문화공원, 에코랜드, 미니랜드, 산굼부리, 사려니숲길, 절물자연휴양림에서 자동차로 약 5분 거리에 있어 조천을 방문한 관광객의 필수 코스이기도 하다.",064-783-3375,주차가능,09:30 ~ 19:30,"수요일 (둘째, 넷째 주/수요일이 휴일인 경우 정상영업)",통갈치구이,"갈치조림, 전복뚝배기, 전복구이","부대시설:주차장, 화장실, 단체석, 무선 인터넷
화장실:가능 (남녀 구분)
"
215,스마일러,"제주특별자치도 제주시 애월읍 상고길 47
			",33.4699597157,126.4158748424,"아이들과 가기 좋은 동물 카페 스마일러. 마당에는 염소, 돼지, 고양이, 토끼, 앵무새 등이 있고 미끄럼틀도 있어 아이들이 야외에서도 즐겁게 놀 수 있다. 주택을 리모델링한 카페에는 방별로 악어, 거북이, 개구리, 새, 물고기들이 있다. 열대어나 도마뱀 등 희귀 애완동물들 모두 분양할 수 있고 쉽게 키울 수 있도록 풀세팅된 키트도 있어 처음 애완동물을 기르고자 하는 사람도 사장님께 컨설팅을 잘 받아볼 수 있다.",070-8285-7558,주차가능,14:00 - 18:00<br>(코로나로 인하여 단축영업),수요일,수제레몬차,"딸기쥬스, 아메리카노, 세계과자세트","부대시설:단체석, 주차, 무선 인터넷
화장실:가능 (남녀구분)
"
