,명칭,주소,lat,lon,개요,문의 및 안내,쉬는날,이용시간,주차시설,유모차 대여 여부,애완동물 동반 가능 여부,상세정보
387,아침미소목장,제주특별자치도 제주시 첨단동길 160-20(월평동),33.4548279883,126.5862409359,"아침미소목장은 지난 1978년 설립되어 많은 젖소들을 건강하게 길러내고 2008년 낙농체험목장으로 선정되어 친환경 목장으로 인정되었다. 아침미소목장에서는 젖소와 송아지에게 먹이도 주고, 아이스크림과 치즈를 직접 만들어 볼 수도 있다. 또 목장에서 직접 만든 유제품을 맛볼 수도 있다. 
도시에서 나고 자란 아이들에게는 더 없이 좋은 체험학습현장이 될 것이며 어른들에게는 추억의 장소와 삶의 휴식처가 될 것이다. 맑고 푸른 자연속에서 송아지에게 우유를 직접 먹여주며 생명의 소중함을 배우고 동물의 체온을 직접 느낄 수 있는 기회가 될 것이다.",064-727-2545,"매주 화요일, 명절휴무",평일 10:00 ~ 17:00,주차 가능,없음,가능,"화장실:남/녀 구분 
이용가능시설:단체석 가능, 무선인터넷 사용가능
"
388,천아오름,제주특별자치도 제주시 애월읍 평화로(애월읍),33.3956685213,126.4528399705,"어승생악 서쪽 2.5km지점 신엄공동목장안에 위치한 오름으로, 남쪽봉우리를 중심으로 북서쪽으로 패어있는 소규모 말굽형 화구를 이루고 있다. 제1산록도로변에서 신엄공동목장안까지 시멘트포장길이 개설되어 오름앞까지 쉽게 찾아 갈 수 있으며, 겨울의 막바지까지도 눈이 남아 있어 눈썰매장으로도 인기가 많은 곳이다. 
주요식생은 해송이 주종을 이루며 잡목이 우거지고 꽝꽝나무가 많으며, 천아오름 동녘자락에 속칭 무수내(무수천 상류)가 있는데, 이 내에는 어승생저수지의 보조수원인 천아수원이 개발되어 있다. 또한, 제주시와 애월읍의 경계를 이루며 계곡 양안에서 우거진 온대림은 참꽃나무와 낙엽활엽수의 단풍 등으로 경승이 빼어난 곳이다.
※ 오름명의 유래, 어원 : 천아오름은 天娥岳(천아악), 또는 天娥峰(천아봉)으로 표기되며, 옛지도에는 眞木岳(진목악) 이라고 나와 있다. &amp;眞木(진목)이란 참나무를 가리키며, 참나무는 상수리나무의 별명으로서, 이것은 제주방언으로는 지역에 따라 낭 남 낭 처 낭 처남 이라고 한다. 이로 미루어 이 오름명은 참나무(상수리나무)에 연유한 이름으로 보인다. 주요식생은 해송이 주종을 이루며 잡목이 우거지고 꽝꽝나무가 많으며, 천아오름 동녘자락에 속칭 무수내(무수천 상류)가 있는데, 이 내에는 어승생저수지의 보조수원인 천아수원이 개발되어 있다. 또한, 제주시와 애월읍의 경계를 이루며 계곡 양안에서 우거진 온대림은 참꽃나무와 낙엽활엽수의 단풍등으로 경승이 빼어난 곳이다.",제주관광정보센터 064-740-6000,,,,없음,없음,
389,갈마못(갈뫼못),제주특별자치도 서귀포시 성산읍 중산간동로(신풍리),33.3870224256,126.8115590479,"성읍리 사거리에서 성산으로 가는 도로변 남산봉 입구에 위치해 있는 연못으로 행정구역상 성산읍 신풍리에 해당되지만 오히려 성읍에 가까워 소유도 성읍리 마을 소유이다. 풍수지리설에 의하면 이 못은 목마른 말이 물을 마시는 것과 같고 또, 마소의 급수용으로 이용한 데서 연유하여 '갈마못' 이라는 이름이 붙여졌다고 한다. 자연적으로 조성된 이 못은 아무리 가물어도 물이 마르지 않는다고 하며, 중앙의 작은 못에는 돌담이 원형으로 둘러져 있고 예전에 식수로 이용되었던 흔적인 물팡돌이 놓여 있다. 물의 유입은 남산봉 화구쪽에서 수로를 따라 유입되는 것으로 추정되며 이와 아울러 인위적으로 조성된 우수관이 도로변 밑으로 시설되어 연못으로 유입되고 있다. 못의 일부는 농업용수로 활용하기 위해 60㎡정도가 도로 높이로 매립되어 있으며 그 너머로는 농경지가 경작되고 있다. 대부분 지역이 추수식물과 부엽식물(浮葉植物)이 고른 분포를 보이나 침수식물(沈水植物)의 분포는 빈약한 편이다. 중앙에 있는 '작은못'에는 환경부 지정 보호야생식물인 순채가 군락을 이루며 자생하고 있고, 못의 가장자리 및 중앙부에는 대부분 기장대풀이 우점하고 있는 식생을 보이고 있는데, 전체적으로 기장대풀군락, 송이고랭이군락, 좀어리연꽃군락, 순채군락으로 구분될 수 있다. 기장대풀이 우점하는 지역은 주로 연못의 가장자리를 중심으로 비교적 수심이 10cm 이하로 택사, 골풀, 고마리 등이 분포하고 있다. 못의 중앙일부와 도로변에 인접한 지역으로 수심 20∼40cm 정도이고 우수의 유입과 농업용수의 취수가 이루어지는 지역을 중심으로 좀어리연꽃 및 송이고랭이가 우점하는 지역이 나타나며, 환경부지정 보호야생식물인 순채는 못의 중앙부(돌담축조로 구획된 지역)와 기장대풀이 우점하는 곳에 일부가 분포하고 있다. 또한, 환경부지정 보호야생식물인 물부추는 유수의 유입구 지점에 드물게 생육하고 있으며 곡정초, 개수염 등과 혼생하고 있다. 연못정비 등업으로 수량이 많이 줄어들어 수서곤충류는 발견하지 못했으며 왜가리, 쇠백로 등의 조류만 관찰되었다.",서귀포시 공원녹지과 064-760-3192,,,,없음,없음,
390,서귀포 용왕난드르마을,"제주특별자치도 서귀포시 안덕면 대평감산로 8
			",33.2354376484,126.3670621143,"'바다로 뻗어 나간 들, 용왕이 나온 들'이라는 의미를 모아 ""용왕난드르""마을이라 한다. 용왕난드르 마을에서는 농사체험과 염색체험 그리고 바다생태체험이 가능하다. 군산등반, 재미있는 소라잡기, 테우배낚시, 밤바다감상하기 등 직접 느끼고 체험하는 즐거움과 감칠맛나는 손맛으로 직접 잡은 신선한 회와 용왕 난드르 자연산 소라, 자연 그대로의 맛깔나는 음식 등을 맛볼 수 있다.<br>",064-738-0915,,,,없음,없음,"이용가능시설:숙박시설, 음식점 등
화장실:있음
장애인 편의시설:없음
내국인 예약안내:예약제로 운영
"
391,"수보사(구,광명사)",제주특별자치도 서귀포시 중문상로17번길 51(중문동),33.249045297,126.4190406356,"중문 수보사(구, 광명사)는 기미 독립운동이 일어나기 1년전인 1918년 제주도내 스님과 지식인들이 일으킨 무오법정사항일항쟁을 주도하신 방동화 스님께서 창건하셨다. 창건 역사는 100년이 채 되지 않은 사찰이지만 도내 최초의 대규모 항일항쟁의 발상지로서 후손들에게 애국심과 민족의식을 고취시키는 역할을 자임하고 있는 애국애족 실천도량이다.<br>",064-740-6000,연중무휴,,,없음,불가,"화장실:있음
한국어 안내서비스:가능
"
392,지속가능환경교육센터,제주특별자치도 제주시 송이길 226(회천동),33.4626805753,126.6286842945,"<strong>아름다운 섬 제주를 지켜요 </strong><br /><br />제주특별자치도 지속가능환경교육센터는 지속가능한 제주를 만들기 위해 자원 절약과 폐기물 자원화의 소중함을 알리고 자원재활용을 시민 생활문화로 정착시키기 위해 설립됐다. 지속적인 환경교육 프로그램을 개발하고 시행한 결과, 타지 않는 쓰레기를 매립하는 매립장부터 재활용품 선별장, 음식물 쓰레기 자원화 센터를 지나 3R+환경센터, 에코센터까지 둘러보는 환경 기초 교육프로그램은 2011년 환경부 우수 환경교육프로그램으로 인증 받았다.<br>",064-772-9401~3,,월~금 09:00~18:00 (주말 및 공휴일 휴무),있음,불가,불가,"입 장 료:무료
화장실:있음
내국인 예약안내:교육 프로그램 최소 14일 전 인터넷 홈페이지 예약
한국어 안내서비스:인솔자 안내 하에 견학<br>
[견학코스] 매립장→재활용품 선별장→음식물 쓰레기 자원화 센터→체험장(3R+환경센터, 에코센터)
"
393,바리메 / 바리메오름,"제주 제주시 애월읍 어음리 산1
			",33.3930648051,126.3752995443,"바리메 오름은 제주시 애월읍 어음리에 있는 오름으로 해발 763m이며 오름 중 가장 높고 경사가 가파른 오름에 속한다. 오름 정상 분화구 모양이 절에서 쓰는 승려들의 공양 그릇 바리를 닮았다고 하여 바리매 오름으로 불리게 되었다 정상 분화구 깊이는 78m이고 직경 130m이다. 오름의 서쪽으로는 목장이 들어서 있고, 나머지 경사면은 소나무가 무성히 자라고 있다. 경사가 있는 오름으로 둘레길처럼 운동화 차림보다는 등산화 차림이 편할 수 있다. 등산로를 따라 다양한 야생화와 피어있고 정상에는 다래 오름, 폭낭오름, 괴오름, 북돌아진 오름 등이 있어 크고 작은 오름들이 어울려 있는 진풍경을 만날 수 있다. 산악자전거 코스로도 인기다.",064-740-6000,,,있음,없음,가능,"이용가능시설:정상 벤치쉼터		

화장실:있음

주차요금:없음

"
394,새미은총의동산 (성이시돌),"제주특별자치도 제주시 한림읍 새미소길 15
			",33.3483050542,126.3237716904,"새미 은총의 동산은 예수님의 탄생부터 최후의 만찬까지 12개의 주요 사건을 표현한 ‘예수님 생애 공원’과 ‘삼위일체 대성당'이 있는 곳으로, 천주교 제주교구의 성지 순례 장소다. 전체 면적은 약 264,000㎡에 달하며 언제든 신자들이 찾아와 기도할 수 있도록 24시간 개방하고 있다. 또, 성 이시돌 목장 뒤를 순례지로 개발해 넓은 동산과 연못, 성모상과 대형 십자가 등을 볼 수 있게 했다. 야외에서는 동시에 약 5천여 명이 함께 야외 미사를 보거나, 각종 공연이나 행사 공간으로 사용할 수 있다. 최근 많은 사람들이 찾는 여행지로 각광받고 있으며 다양한 조형물과 산책로, 넓은 들판이 있어 종교인이 아니어도 힐링할 수 있는 곳이다.",064-796-4181,,상시 개방,주차가능,없음,가능,"이용가능시설:각종 스토리가 있는 동상
이용가능시설:화장실, 주차장
화장실:가능
"
395,거린사슴,"제주특별자치도 서귀포시 1100로 823
			",33.3073171985,126.4543696003,"서귀포시 하원동과 대포동 경계인 1100도로변에 위치하고 있으며, 영실입구에서 1100도로를 따라 남쪽으로 약 3km 지점의 도로변 우측에, 한라산 남서사면의 산림지대와 목야지대의 경계를 이루면서 가로 누워있다.<br>두개의 작은 봉우리가 이어져 남서에서 북동으로 등성마루가 뻗었으며, 주봉에서 서쪽으로 다소 얕게 벌어진 말굽형 화구를 이루고, 주봉은 붉은오름, 작은오름을 알오름이라고 하여 따로 부르고 있다.<br>남동사면은 삼나무가 조림되어 있고, 정상 서쪽사면은 자연림의 울창한 숲을 이루고 있으며, 오름 남쪽봉우리의 산허리를 돌아가며 임도가 정상부까지 개설되어 있다.<br>- 오름명의 유래 : 사슴이 살았다고해서 거린사슴이라 불리우고 있으며, 거리다는 갈리다(갈라지다)의 옛말로 오름이 두개의 봉우리로 갈리어져 있음을 말한다.",제주관광정보센터 064-740-6000,,,,없음,없음,
396,삼양해안도로,"제주특별자치도 제주시 삼양삼동 2582-1
			",33.525339511,126.5788233094,"삼양 해안도로는 제주 북부에 있는 삼양동 해안을 따라 이어져 있는 도로다. 삼양동 마을에서 시작해 삼양 해수욕장에서 끝이 나며, 해안 도로 중 가장 거리가 짧다. 검은 모래 해변을 따라 연결된 이곳은 양쪽의 도로변을 따라 가로등이 이어지며, 일몰과 야경이 아름다워 관광객들이 많이 찾는다. 7월에는 삼양 검은 모래 해변축제가 열리며, 검은 모래로 모래찜질을 하면 신경 질환 및 비만 치료, 관절염 등에 효험이 있다고 하여 관광객과 현지 도민의 방문도 잦은 곳이다.  제주시가 선정한 ‘제주시 숨은 비경 31’에 포함된 곳이기도 하다.",064-740-6000 / 064-728-4712,,상시 개방,주차가능,없음,가능,"이용가능시설:해수욕장
이용가능시설:화장실, 주차장
화장실:가능
"
397,서귀포 알토산마을,"제주특별자치도 서귀포시 표선면 토산중앙로16번길 1
			",33.3085528077,126.7803857597,서귀포시 동남부에 위치한 해안 마을로써 동쪽으론 세화 2리와 서쪽으로는 송천을 사이에  두고 남원읍과 경계를 이루고 있다. 일주도로가 마을을 통과하고 있어 교통은 편리한  편이며 면 소재지인 표선리와 서쪽으로 6㎞ 떨어진 곳에 위치해 있다.  마을 북쪽에 있는 토산망이 바람막이 역할을 함으로써 표선면에서 가장 먼저 감귤 재배를  시작하여 타마을로 보급시켰다. 농경지 대부분이 감귤원으로 마을의 주소득원은 감귤 수익과 약간의 수산물(해녀) 소득으로서 경제활동이 이루어지고 있다. 해안변에 소규모 어항(포구)이 있고 2척의 어선을 보유하고 있으나 낚시배 수준이며 어업에 종사하는 인원은 극히 적은 편이어서 해녀 30 ~ 40명이 해녀작업에서 벌어들이는 수입이 전부로 어업 소득은 미미한 편이나 토산관광단지 조성으로 인해 관광지로 급부상하고 있다.<br>,064-787-3308,,,주차 가능,없음,불가,"화장실:있음
장애인 편의시설:없음
내국인 예약안내:전화 예약
"
398,명월성지,"제주도 제주시 한림읍 명월리 2236
			",33.4007843643,126.2604038055,"제주특별자치도 기념물<br>명월진성은 둘레가 3천 20척, 높이가 8척이었으며, 동쪽과 남쪽 및 서쪽에 각각 성문이 있었다. 성안에는 수량이 풍부한 샘이 있었고, 건물로는 객사·별창·군기고 등이 있었으나 지금은 하나도 남아 있지 않다. <br>명월포는 1270(고려 원종 11)에 삼별초의 별장 이문경이 고려에서 파견된 관군을 진압하고 탐라를 점령할 때 상륙한 곳이며, 김방경이 삼별초를 정벌할 때에도 그 일진이 이곳으로 상륙하였다. 더욱이 1374년(공민왕 23)목장을 관리하기 위해 몽고에서 파견된 몽고인 목자들이 반란을 일으켰을 때, 이를 진압하기 위하여 최영 장군이 상륙한 곳도 명월포였다.<br>(출처: 제주관광공사)",,,,,없음,없음,
399,위미동백나무군락,"제주특별자치도 서귀포시 남원읍 위미중앙로300번길 23-7
			",33.2731356002,126.675942828,"위미동백나무군락은 제주 서귀포시에 위치한 동백나무 군락으로 17세 되던 해 이 마을로 시집온 현맹춘(1858-1993) 할머니가 해초캐기와 품팔이 등 근면·검소한 생활로 어렵게 모은 돈 35냥으로 이곳 황무지 (속칭 버득)를 사들인 후 모진바람을 막기 위하여 한라산의 동백 씨앗을 따다가 이곳에 뿌린 것이 오늘날에 이르러 기름진 땅과 울창한 숲을 이룬 것이다. 봄철 남녀노소 찾는 인기 관광명소며, 1982년 5월 8일 제주특별자치도 기념물로 지정된 곳이다.<br>",064-740-6000,,,,없음,없음,
400,한림공원,"제주특별자치도 제주시 한림읍 한림로 300
			",33.3886659647,126.2415557152,"한라산(1,950.1m)의 서쪽, 한림읍에 위치한 비경지대이다. 제주시에서 일주도로 해안을 따라 서쪽으로 33㎞지점에 위치한 한림공원은 협재, 금릉 해수욕장의 비경과 아름다운 비양도의 경관을 마주하고  있는 제주도내 최고의 관광명소로 손꼽히고 있다. 10만여 평의 대지에 하늘로 우뚝 뻗은 야자수군락과 울창한 송림으로 둘러싸인 한림공원은 다양한 종류의 꽃과 나무가 사계절  아름다운 경관을 연출하며, 협재 쌍용동굴과 아열대  식물원 그리고 제주석, 분재원, 재암민속마을, 수석전시관, 사파리조류원 등 다양한 볼거리를 함께 갖추고 있다. 또한, 2002년에는 1,000여 평 규모의 연못을 새로 조성하여 선보이는 등 계속해서 다양한 볼거리를 만들어 나가고 있다.  한림공원은 1971년 초 한림읍 협재리 바닷가 일원의 불모의 모래밭을 매입하여 수천 트럭  분량의 흙을 실어와 객토작업을 하고 아열대 수목의 종자를 파종하여 육묘함으로써 탄생하게 되었다고 한다. 16개의 식물원을 보유한 식물나라이다. <br /><br />* 협재.쌍용동굴<br />250만 년 전 한라산 일대의 화산이 폭발 하면서 용암이 흘러내려 형성된 검은 색의 용암동굴이 스며드는 석회수로 인하여 황금빛 석회 동굴로 변해가는 신비스러운 모습을 볼 수 있는 세계 유일의 2차원 복합동굴로 국가지정문화재 천연기념물로 지정되어 보호받고 있으며, 석회동굴에서만 볼 수 있는 석순과 종유석들이 자라고 있는 용암동굴로서 학술적 가치를 크게 인정받고 있다. 특히, 쌍용동굴은 그 형태가 마치 두 마리의 용이 빠져 나온 모양을 하고  있어서 쌍용동굴이라 부르고 있으며, 협재.쌍용동굴 이외에도 황금굴, 소천굴 등 20여 개의 동굴이 하나의 시스템으로 형성되어 있는데, 그 길이는 1만 7천m에 달하고 있어서 세계 최장의 용암동굴시스템으로 확인되었다.<br /><br />* 아열대 식물원 <br />2천여 종의 진귀하고 아름다운 식물들이 살아 숨쉬는 한림공원의 아열대식물원은 제주도의 산과 들에 자생하는 꽃과 식물이 전시되어 있는 제주산야초원, 100여 종의 다양한     허브로 구성된 허브가든, 인테리어용으로 보기 좋은 관엽식물로 가득 찬 관엽 식물원, 4계절 아름다운 꽃이 넘쳐나는 플라워가든, 이외에도 제주감귤원, 선인장정원, 열대식물온실 등 여러 가지 식물의 테마 정원으로 구성되어 있다.<br /><br />* 제주 석·분재원<br />제주 석·분재원은 한림공원 내에 분재와 돌을 주제로 구성된  테마공원으로 다양한 분재 작품과 기암괴석, 정원석을 감상 하면서 휴식할 수 있는 독특한 즐거움을 제공하고 있다.총면적 5천 평에 수령이  짧게는 10년에서 길게는 300년에 이르는 크고 작은 분재들이 각기 나름대로의 위치에서 그 자태와 멋을 표현하고 있는데, 특별히  제주도에서 자생하는 괴불나무 등의 희귀소목을 정교하게 작품화 하여 전시하고 있다. 특히 한라산의 화산폭발시 형성된 용암수형석과 제주도 특유의 다공질 현무암 등의 제주 자연석을 비롯하여 남미의 아마존 강가에서 채취한 대형자연석 등의 수석들이 분재와 어우러져 색다른 자연의 조화를 연출하고 있다.<br /><br />* 재암민속마을<br />제주도 민속촌인 재암민속마을 에서는 현대문명의 발전과 더불어 사라져 가는 제주 전통 초가의 보존을 위해서 산간 지방에 있던 실제 초가를 원형 그대로 이설, 복원하여 옛 제주인의 생활상을 엿볼 수 있다.<br /><br />* 재암수석관<br />화산섬인 제주도는 화산폭발 시 형성된 다양한 형상의 화산탄, 현무암과  각종 용암석 등 진귀한 돌이 많은 곳으로 유명한데, 이곳  한림공원의 재암수석관에는 이러한 제주 특유의 수석들을 비롯 국내외의 다양한 수석을 전시하고 있다.<br /><br />* 사파리 조류원<br />금슬 좋은 원앙, 깃털이 오색찬란한 공작새, 색깔과 몸집이 아름답기로 유명한 한국 꿩 등이 있으며, 지구상에서 가장크고, 공룡과 초식동물의 특징이 섞여있는 타조 등을 가까이에서 볼 수 있다. 이외에도 백한, 칠면조, 호로조, 비둘기 금계 등의  관상조들을 보는 즐거움이 함께 한다.<br /><br />* 야자수길<br />하늘로 뻗은 야자수와 제주 자생 선인장의 조화로 이국의 정취가 물씬 풍기는 곳이다.<br /><br />* 연못정원<br />1,000여 평 규모의 연못과 그 위를 시원하게 적시는 폭포가 인상적인 곳이다.<br>",064-796-0001,연중무휴,"3월~8월 09:00~17:00<br>
9월~10월 09:00~17:30<br>
11월~2월 09:00~16:30",있음,없음,가능,"관광코스안내:야자수길 → 산야초원 → 협재굴·쌍용굴·황금굴 → 제주 석·분재원 → 재암민속마을 → 사파리조류원 → 재암수석관 → 연못정원 → 아열대식물원
입 장 료:개인 - 일반 12,000원 / 청소년 8,000원 / 어린이 7,000원 / 경로 10,000원<br />
단체 - 일반 10,000원 / 청소년 6,000원 / 어린이 5,500원 / 경로 9,000원<br />
<br />
※ 장애인, 국가유공자, 제주도민은 단체요금 적용<br />
※ 단체 30인 이상<br />
※ 청소년(중고등학생), 어린이(생후 36개월 이상), 경로&nbsp;(만 65세 이상)
이용가능시설:야자수길, 아열대식물원, 협재굴·쌍용굴(천연기념물), 제주 석·분재원, 재암민속마을, 사파리조류원, 연못정원, 재암수석관, 음식점, 커피숍, 휴게소, 기념품점, 물품보관함(쌍용각 휴게소) 등
화장실:있음
주차요금:무료
"
401,다려도,제주특별자치도 제주시 조천읍 북촌리산 89,33.5572322923,126.6953319009,"섬의 모습이 물개를 닮았다고 해서 달서도라고도 한다. 제주도 북부 끝의 북촌리 마을 해안에서 400m 정도 거리의 앞바다에 떠 있는 무인도이다. 온통 현무암으로 이루어진 바위섬으로, 3~4개의 독립된 작은 섬이 모여 이 섬을 이룬다. 거센 파도와 해풍에 의해 바위가 갈라지는 절리 현상을 곳곳에서 볼 수 있으며, 작은 섬과 섬 사이는 소규모의 모래벌판으로 연결되어 있다. 원앙(천연기념물)의 집단 도래지로 유명한 곳으로, 매년 12월에서 2월 사이에 적게는 수백 마리에서 많게는 수천 마리의 원앙이 찾아든다. 바다 낚시터로도 널리 알려져 있다. 2009년 7월 제주시가 기존의 관광 명소 이외에 제주시 일대의 대표적인 장소 31곳을 선정해 발표한 제주시 숨은 비경 31 중 하나이다.<br>",064-740-6000,,,,없음,없음,
402,메이즈랜드,"제주특별자치도 제주시 구좌읍 비자림로 2134-47
			",33.4887498991,126.8006909929," 메이즈랜드는 세계 최장을 자랑하는 석축미로를 가지고 있는 종합테마파크로 한국이 자랑하는 아름다운 섬 제주의 삼다(돌, 바람, 여자)를 테마로하여 5.3km에 이르는 미로를 조성하였으며, 미로박물관을 함께 개설하여 미로의 기원 설화와 14세기부터 현재까지의 미로관련 유물과 퍼즐을 직접 체험하고 관람할수 있는 공간을 제공하고 있다. 미로는 돌과 나무로 이루어져 있는데 제주의 돌은 원적외선 방사량이 높고, 여자 바람 미로를 이루고 있는 서양측백나무 역시 피톤치드 방출량이 높아 단순히 미로를 걷는 것이 아닌 건강을 함께 생각한 자연친화적 테마이다.메이즈랜드의 부지는 40년간 가꾸어져 왔으며 40년된 다양한 수목들이 부지 전체를 감싸고 있고 이러한 수목들은 산림욕을 위한 최적의 장소이다.<br>",064-784-3838,연중무휴,"11월~1월 : 09:00~17:30(매표마감 16:30)<br />
2월~3월/10월 : 09:00~18:00(매표마감 17:00)<br />
4월~5월/8월~9월 : 09:00~18:30(매표마감 17:30)<br />
6월~7월 : 09:00~19:00(매표마감 18:00)<br />
※ 2020년 5월에는 한시적으로 매표마감 17:00, 관람마감 18:00",있음(소형 600대 / 대형 200여대 주차가능),가능,불가,"상점정보:미로박물관내 퍼즐등을 판매하는 매장과 카페 등이 입점일층에 편의점 운영
입 장 료:개인 - 성인 11,000원 / 청소년, 군인 9,000원 / 어린이, 경로, 유공자 8,000원 / 장애인 5,000원<br />
단체 - 성인 9,000원 / 청소년, 군인 7,000원 / 어린이, 경로, 유공자 6,500원 / 장애인 3,000원<br />
※ 단체 30명 이상<br />
※ 청소년(중고생), 경로(만 65세 이상), 어린이(36개월~초등학생)<br />
※ 장애 1~3급 : 동반 1인까지 장애인 요금 적용<br />
※ 장애 4~6급 : 본인만 적용
이용가능시설:돌, 바람, 여자 미로, 애지앙, 미로박물관 등
화장실:있음
주차요금:무료
내국인 예약안내:전화예약가능
외국인 예약안내:전화예약가능
"
403,하도어촌체험마을,제주특별자치도 제주시 구좌읍 해맞이해안로(구좌읍),33.5199453433,126.9040729746,"하도마을은 아직 개발의 손이 닿지 않아 대중들에게는 많이 알려지지 않은 마을이지만 천연기념물 토끼섬 문주란 자생지, 세계적 희귀조류인 노랑부리저어새황새, 백로, 가마우지류 등 수십종의 철새가 날아드는 하도철새도래지, 왜구침입을 막기위해 조선시대 축조된 제주특별자치도 기념물 별방진과 해녀들의 삶과 애환,풍습들을 한 눈에 볼수 있도록 전시된 해녀박물관, 눈부시게 아름답고 깨끗한 푸른바다의 하얀백사장 하도해수욕장, 우도를 벗삼아 정면에 정면에 자리하고 있어 가장 제주적인 바다문화와 바다풍경을 체험하고 만끽할수 있는 전형적인 어촌마을이다. <br>",064-783-1996,연중개방,"09:00~17:00<br/>
※ 전화문의 요망",주차가능,없음,불가,"입 장 료:무료(※ 체험비 별도)
화장실:있음
내국인 예약안내:물 시간에 따라 체험가능여부가 다르므로 사전 전화예약 필수
"
404,아르떼뮤지엄 제주,"제주특별자치도 제주시 애월읍 어림비로 478
			",33.3967250327,126.3449882076,"국내최대몰입형 미디어아트전시관 아르떼뮤지엄 아르떼뮤지엄은 코엑스'WAVE'작품으로 유명한 세계 수준의 디지털 디자인 컴퍼니 d'strict가 선보이는 국내 최대 규모의 몰입형 미디어아트 전시관이다. 스피커 제조 공장으로 시용되던 바닥 면적 1,400평, 최대 10M에 육박하는 웅장한 공간에서는 빛과 소리가 만들어 낸 10개의 다채로운 미디어아트 전시가 펼쳐진다.",1899-5008,연중무휴,,,없음,없음,
405,제주 선흘리 벵뒤굴 [유네스코 세계자연유산],제주특별자치도 제주시 조천읍선흘리 365번지 등,33.4557494354,126.717732279,"벵뒤굴은 동굴 총길이가 4,481m로 세계적으로 가장 복잡한 미로형 동굴에 속하는 용암동굴로, 용암류가 평평한 대지상에서 복잡한 유로를 가지며 연속적으로 흘러 형성되는 미로형 용암동굴의 생성과정을 밝힐 수 있는 중요한 학술적 가치를 가진 동굴이다. 또한, 지표면 가까이 생성되어 동굴 천장과 지표가 매우 얇아 함몰된 입구가 여러 개 있으며, 동굴내부에는 곳곳에 2층, 3층의 동굴구조와 용암석주, 용암교 등과 같은 동굴지형이 잘 발달되어 있어 만장굴 등과 함께 세계자연유산으로 등재된 용암동굴 중 하나이다.

* 수량/면적 - 236,728㎡
* 소유자 - 국유,사유
※ 거문오름 용암동굴계에서 세계자연유산으로 지정된 동굴은 벵뒤굴, 만장굴, 김녕굴, 용천동굴, 그리고 당처물동굴이다.",1600-0064,,,,없음,없음,
406,제주 교래자연휴양림,"제주특별자치도 제주시 조천읍 남조로 2023
			",33.4513961615,126.6567237837,"교래자연휴양림은 제주의 곶자왈 지역에 조성된 자연휴양림으로, 숲속의 초가, 야외공연장 등이 갖춰진 휴양지구와 야영장 및 야외무대, 풋살경기장 등이 자리잡은 야영지구, 곶자 왈 생태를 관찰 할 수 있는 생태체험지구, 3.5km의 오름산책로를 통해 큰지그리오름 산행을 할 수 있는 삼림욕지구 등 총 4개 구역으로 나뉘어서 조성되어 있다. 일상에 지친 현대인들에게 치유와 휴식공간으로 각광받고 있다.<br>",,,"하절기 : 07:00 ~ 16:00<br />
동절기 : 07:00 ~ 15:00",,없음,없음,
407,제주 스위스마을,"제주특별자치도 제주시 조천읍 함와로 566-27
			",33.4939389994,126.6767932932,"제주도 스위스마을은 다채로운 색감의 상가와 숙박시설로 꾸며져 있으며 마을 곳곳에 여행자들을 위한 포토존들이 마련되어 있는 곳으로, 여러 공방과 아기자기한 소품 샵들이 있어 함께 구경하기 좋은 곳이다. 언덕배기에 지어진 마을이라 올라갈수록 아름다운 제주도의 바다가 펼쳐저, 마치 동화 속에 들어온 듯 한 느낌을 받을 수 있다.<br>",064-740-6000,,,,없음,없음,
408,명월대,"제주특별자치도 제주시 한림읍 명월리
			",33.3889996512,126.2664063239,"명월대는 조선 말기 이 지방 유학자들과 시인들이 어울려 풍류를 즐기던 곳이다. 옛 모습대로 보존되어 있는 석교 아래로 시냇물이 흐르고, 울창한 수풀이 우거져 있다. 계곡의 너비 15m로 한여름에는 더위를 피해 많은 피서객들이 찾는다. 특히, 명월대는 지방기념물로 지정되어 보호받고 있다.<br>",064-740-6000,,,,없음,없음,
409,귤림서원,제주특별자치도 제주시 이도1동(이도일동),33.5101792208,126.5250922135,"귤림서원은 제사기능을 가진 충암묘(沖菴廟)와 교육기능을 가진 장수당(藏修堂)이 복합되어 이루어진 서원이다. 충암묘는 1578년(선조 11)에 조인후(趙仁後)판관이 충암 김정(沖菴 金淨)을 봉향하기 위해 세운 사묘(祠廟)이다. 충암묘란 사호(祠號)는 김정의 호를 취한 것이며, 당초의 위치는 가락천 동쪽이었다. 장수당(藏修堂)은 이회(李禬)목사가 향인 김진용(金晉鎔)의 건의로 세종 때 한성판윤을 지낸 고득종(高得宗)의 옛 집터에 세웠던 강당이다.귤림서원은 1871년(고종 8) 흥선대원군의 서원철폐령으로 훼철, 1875년(고종12)봄에는 이희충(李熙忠)목사가 장수당 옛 터에 경신재(敬信齋)를 세워서 선비의 자제들이 학업을 닦을 수 있도록 하였다. 그 후1892년(고종 29)에 조천출신 유생 김희정 등이 옛터에 오현의 뜻을 기리고자 조두석(俎豆石)을 세우고 제단을 축조하여 배향했던 곳이 바로 오늘날의 오현단이다.<br>",064-710-6702,,,,없음,없음,
